,model,feature,recall_micro,recall_macro,precision_macro,precision_micro,f1_macro,f1_micro,collection,task,f1_class_0,f1_class_1,f1_class_2,f1_class_3
0,majority_baseline,,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
1,majority_baseline,,0.5,0.333333333333333,0.166666666666667,0.5,0.222222222222222,0.5,dev,subtaskbenglish,0.666666666666667,0,0,
2,Linear SVM,bias,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
3,Linear SVM,bias,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
4,Linear SVM,bias,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
5,Linear SVM,bias,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
6,RBF SVM,bias,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
7,RBF SVM,bias,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
8,RBF SVM,bias,0.210526315789474,0.266666666666667,0.074074074074074,0.210526315789474,0.115942028985507,0.210526315789474,dev,subtaskbenglish,0,0.347826086956522,0,
9,RBF SVM,bias,0.37037037037037,0.32258064516129,0.128205128205128,0.37037037037037,0.18348623853211,0.37037037037037,test,subtaskbenglish,0,0.55045871559633,0,
10,Linear SVM (squared loss),bias,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
11,Linear SVM (squared loss),bias,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
12,Linear SVM (squared loss),bias,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
13,Linear SVM (squared loss),bias,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
14,Logistic Regression,bias,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
15,Logistic Regression,bias,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
16,Logistic Regression,bias,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
17,Logistic Regression,bias,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
18,Decision Tree,bias,0.78989898989899,0.253015263694127,0.332077393075356,0.78989898989899,0.230492752338313,0.78989898989899,dev,subtaskaenglish,0.882441597588545,0.023529411764706,0.016,0
19,Decision Tree,bias,0.800766283524904,0.24779810298103,0.201960242959691,0.800766283524904,0.222543352601156,0.800766283524904,test,subtaskaenglish,0.890173410404624,0,0,0
20,Decision Tree,bias,0.263157894736842,0.337037037037037,0.177083333333333,0.263157894736842,0.194139194139194,0.263157894736842,dev,subtaskbenglish,0,0.428571428571429,0.153846153846154,
21,Decision Tree,bias,0.419753086419753,0.353494623655914,0.376190476190476,0.419753086419753,0.262341127729794,0.419753086419753,test,subtaskbenglish,0.212765957446808,0.574257425742574,0,
22,Random Forest Classifier,bias,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
23,Random Forest Classifier,bias,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
24,Random Forest Classifier,bias,0.236842105263158,0.307407407407407,0.163793103448276,0.236842105263158,0.198089492207139,0.236842105263158,dev,subtaskbenglish,0,0.358974358974359,0.235294117647059,
25,Random Forest Classifier,bias,0.345679012345679,0.318817204301075,0.307936507936508,0.345679012345679,0.236312797946461,0.345679012345679,test,subtaskbenglish,0.088888888888889,0.495049504950495,0.125,
26,Linear SVM,moral_foundation,0.795286195286195,0.25,0.198821548821549,0.795286195286195,0.221492873218305,0.795286195286195,dev,subtaskaenglish,0.885971492873218,0,0,0
27,Linear SVM,moral_foundation,0.807881773399015,0.25,0.201970443349754,0.807881773399015,0.223433242506812,0.807881773399015,test,subtaskaenglish,0.893732970027248,0,0,0
28,Linear SVM,moral_foundation,0.263157894736842,0.333333333333333,0.087719298245614,0.263157894736842,0.138888888888889,0.263157894736842,dev,subtaskbenglish,0,0.416666666666667,0,
29,Linear SVM,moral_foundation,0.382716049382716,0.333333333333333,0.127572016460905,0.382716049382716,0.18452380952381,0.382716049382716,test,subtaskbenglish,0,0.553571428571429,0,
30,RBF SVM,moral_foundation,0.792592592592593,0.273785509123209,0.301783264746228,0.792592592592593,0.263552672935191,0.792592592592593,dev,subtaskaenglish,0.883668056081849,0,0,0.170542635658915
31,RBF SVM,moral_foundation,0.800218938149973,0.267550446205099,0.284310147043487,0.800218938149973,0.257085889570552,0.800218938149973,test,subtaskaenglish,0.888343558282208,0,0,0.14
32,RBF SVM,moral_foundation,0.236842105263158,0.3,0.096774193548387,0.236842105263158,0.146341463414634,0.236842105263158,dev,subtaskbenglish,0,0.439024390243902,0,
33,RBF SVM,moral_foundation,0.333333333333333,0.335483870967742,0.170634920634921,0.333333333333333,0.226160935838355,0.333333333333333,test,subtaskbenglish,0,0.549450549450549,0.129032258064516,
34,Linear SVM (squared loss),moral_foundation,0.790572390572391,0.277629044844017,0.295622694287915,0.790572390572391,0.268348828893259,0.790572390572391,dev,subtaskaenglish,0.882218844984802,0,0,0.191176470588235
