,model,feature,recall_micro,recall_macro,precision_macro,precision_micro,f1_macro,f1_micro,collection,task,f1_class_0,f1_class_1,f1_class_2,f1_class_3
0,Linear SVM,bias,0.7952861952861953,0.25,0.19882154882154882,0.7952861952861953,0.22149287321830458,0.7952861952861953,dev,subtaskaenglish,0.8859714928732183,0.0,0.0,0.0
1,Linear SVM,bias,0.8078817733990148,0.25,0.2019704433497537,0.8078817733990148,0.223433242506812,0.8078817733990148,test,subtaskaenglish,0.893732970027248,0.0,0.0,0.0
2,Linear SVM,bias,0.2631578947368421,0.3333333333333333,0.08771929824561403,0.2631578947368421,0.1388888888888889,0.2631578947368421,dev,subtaskbenglish,0.0,0.4166666666666667,0.0,
3,Linear SVM,bias,0.38271604938271603,0.3333333333333333,0.12757201646090535,0.38271604938271603,0.18452380952380953,0.38271604938271603,test,subtaskbenglish,0.0,0.5535714285714286,0.0,
4,RBF SVM,bias,0.7952861952861953,0.25,0.19882154882154882,0.7952861952861953,0.22149287321830458,0.7952861952861953,dev,subtaskaenglish,0.8859714928732183,0.0,0.0,0.0
5,RBF SVM,bias,0.8078817733990148,0.25,0.2019704433497537,0.8078817733990148,0.223433242506812,0.8078817733990148,test,subtaskaenglish,0.893732970027248,0.0,0.0,0.0
6,RBF SVM,bias,0.21052631578947367,0.26666666666666666,0.07407407407407407,0.21052631578947367,0.11594202898550726,0.21052631578947367,dev,subtaskbenglish,0.0,0.3478260869565218,0.0,
7,RBF SVM,bias,0.37037037037037035,0.3225806451612903,0.12820512820512822,0.37037037037037035,0.1834862385321101,0.37037037037037035,test,subtaskbenglish,0.0,0.5504587155963303,0.0,
8,Linear SVM (squared loss),bias,0.7952861952861953,0.25,0.19882154882154882,0.7952861952861953,0.22149287321830458,0.7952861952861953,dev,subtaskaenglish,0.8859714928732183,0.0,0.0,0.0
9,Linear SVM (squared loss),bias,0.8078817733990148,0.25,0.2019704433497537,0.8078817733990148,0.223433242506812,0.8078817733990148,test,subtaskaenglish,0.893732970027248,0.0,0.0,0.0
10,Linear SVM (squared loss),bias,0.2631578947368421,0.3333333333333333,0.08771929824561403,0.2631578947368421,0.1388888888888889,0.2631578947368421,dev,subtaskbenglish,0.0,0.4166666666666667,0.0,
11,Linear SVM (squared loss),bias,0.38271604938271603,0.3333333333333333,0.12757201646090535,0.38271604938271603,0.18452380952380953,0.38271604938271603,test,subtaskbenglish,0.0,0.5535714285714286,0.0,
12,Logistic Regression,bias,0.7952861952861953,0.25,0.19882154882154882,0.7952861952861953,0.22149287321830458,0.7952861952861953,dev,subtaskaenglish,0.8859714928732183,0.0,0.0,0.0
